tissue,direction,go_id,term,selected_genes,term_size,overlap,p,genes,fdr
root,down,GO:0048767,root hair elongation,55,42,1,0.09739559745258058,AT4G34580,0.19200846354937315
hypocotyl,up,GO:0051260,protein homooligomerization,85,27,1,0.09682545808465715,AT2G24240,0.19590267100849237
root,down,GO:0016051,carbohydrate biosynthetic process,55,46,1,0.10617029898689435,AT5G29958,0.19799326027285702
root,down,GO:0000209,protein polyubiquitination,55,46,1,0.10617029898689435,AT1G15100,0.19799326027285702
whole plant,up,GO:0006310,DNA recombination,75,39,1,0.12172991964100123,AT4G32700,0.19861197415110726
root,up,GO:0009555,pollen development,211,174,4,0.08065718619502217,"AT1G19180,AT1G74450,AT2G42380,AT3G45640",0.20138429538753785
root,up,GO:0010077,maintenance of inflorescence meristem identity,211,9,1,0.08100084292085313,AT1G03770,0.20138429538753785
root,up,GO:0043562,cellular response to nitrogen levels,211,9,1,0.08100084292085313,AT5G27420,0.20138429538753785
root,up,GO:0042542,response to hydrogen peroxide,211,51,2,0.0822049956364908,"AT5G05410,AT5G37770",0.20138429538753785
root,up,GO:0009860,pollen tube growth,211,109,3,0.08233939171017557,"AT1G61290,AT2G07040,AT2G20430",0.20138429538753785
hypocotyl,up,GO:0010268,brassinosteroid homeostasis,85,29,1,0.10361742161052136,AT3G30290,0.2048799018208036
hypocotyl,down,GO:0009926,auxin polar transport,71,51,1,0.14846585186413552,AT5G13930,0.2053777617453875
hypocotyl,down,GO:0006749,glutathione metabolic process,71,52,1,0.15114814665196366,AT1G02950,0.20566059298545875
hypocotyl,down,GO:0009640,photomorphogenesis,71,53,1,0.15382211096216863,AT4G38960,0.20592314854612898
hypocotyl,up,GO:0048235,pollen sperm cell differentiation,85,30,1,0.10699445020564172,AT3G11440,0.20685593706424063
hypocotyl,up,GO:0016132,brassinosteroid biosynthetic process,85,31,1,0.11035890531545604,AT3G30290,0.2087222774444495
shoot,up,GO:0009742,brassinosteroid mediated signaling pathway,58,57,1,0.13645718104240148,AT2G44080,0.20949508324889674
shoot,up,GO:0016036,cellular response to phosphate starvation,58,58,1,0.13867984384081897,AT5G20150,0.20949508324889674
root,up,GO:0010076,maintenance of floral meristem identity,211,10,1,0.08958771840325952,AT1G03770,0.21146868413792655
root,up,GO:2000280,regulation of root development,211,10,1,0.08958771840325952,AT5G04340,0.21146868413792655
root,up,GO:0010951,negative regulation of endopeptidase activity,211,10,1,0.08958771840325952,AT1G62170,0.21146868413792655
root,up,GO:0045087,innate immune response,211,54,2,0.09063102453254979,"AT2G33580,AT5G37770",0.21147239057594952
whole plant,up,GO:0051301,cell division,75,193,2,0.1347588686436278,"AT4G32700,AT5G65800",0.2142320475873057
hypocotyl,up,GO:0016125,sterol metabolic process,85,33,1,0.11705027994635295,AT3G30290,0.21522392959394335
hypocotyl,up,GO:0098542,defense response to other organism,85,34,1,0.1203772914812657,AT5G67310,0.21522392959394335
hypocotyl,up,GO:0071281,cellular response to iron ion,85,35,1,0.12369191355973756,AT3G53280,0.21522392959394335
hypocotyl,up,GO:0010286,heat acclimation,85,35,1,0.12369191355973756,AT5G05410,0.21522392959394335
whole plant,up,GO:0048527,lateral root development,75,45,1,0.13911167057784565,AT5G39610,0.21562308939566077
root,up,GO:0042546,cell wall biogenesis,211,55,2,0.09349414151820483,"AT4G25810,AT5G57560",0.21567398554767706
hypocotyl,up,GO:0009867,jasmonic acid mediated signaling pathway,85,36,1,0.126994191771629,AT1G28480,0.21663715066924943
whole plant,down,GO:0006397,mRNA processing,32,157,1,0.20014083349476944,AT5G28210,0.21681923628600022
shoot,up,GO:0010224,response to UV-B,58,62,1,0.14751440960880227,AT4G38620,0.21692542961015956
shoot,up,GO:0052696,flavonoid glucuronidation,58,63,1,0.14970909930842,AT2G36790,0.21692542961015956
shoot,up,GO:0009809,lignin biosynthetic process,58,65,1,0.15408183360118796,AT4G37990,0.2187962037136869
hypocotyl,down,GO:0009636,response to toxic substance,71,58,1,0.1670678652907258,AT1G02950,0.22006980483020985
hypocotyl,down,GO:0009664,plant-type cell wall organization,71,59,1,0.16969237962811362,AT5G64120,0.22006980483020985
root,up,GO:0048574,"long-day photoperiodism, flowering",211,11,1,0.09809473719857026,AT5G37770,0.22374417585741305
root,down,GO:0006811,ion transport,55,54,1,0.12346918479734662,AT1G20780,0.22419404607939253
root,up,GO:0030154,cell differentiation,211,264,5,0.10216397889243169,"AT2G16720,AT2G47190,AT3G23250,AT3G50060,AT4G34990",0.2300435702882178
root,up,GO:0009664,plant-type cell wall organization,211,59,2,0.10519913556239247,"AT3G45960,AT5G57560",0.2300435702882178
root,up,GO:0010112,regulation of systemic acquired resistance,211,12,1,0.10652263845858362,AT5G26920,0.2300435702882178
root,up,GO:0071482,cellular response to light stimulus,211,12,1,0.10652263845858362,AT3G56710,0.2300435702882178
root,up,GO:0010208,pollen wall assembly,211,12,1,0.10652263845858362,AT3G55090,0.2300435702882178
root,down,GO:0009636,response to toxic substance,55,58,1,0.1319949318806374,AT3G21560,0.2335294948657431
root,up,GO:0009909,regulation of flower development,211,62,2,0.11422323563370726,"AT1G66400,AT5G37770",0.23554593301787272
root,up,GO:0009969,xyloglucan biosynthetic process,211,13,1,0.11487215452595764,AT3G62720,0.23554593301787272
root,up,GO:0009061,anaerobic respiration,211,13,1,0.11487215452595764,AT2G36220,0.23554593301787272
root,up,GO:0009835,fruit ripening,211,13,1,0.11487215452595764,AT4G11280,0.23554593301787272
root,up,GO:0010492,maintenance of shoot apical meristem identity,211,13,1,0.11487215452595764,AT1G03770,0.23554593301787272
